,href
Глава 191.1. Синтез Навыков Сиэль-сенсей,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-191-1-sintez-navykov-siel-sensey/
Глава 190.2. Высочайший Навык,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-190-2-vysochayshiy-navyk/
Глава 190.1. Высочайший Навык,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-190-1-vysochayshiy-navyk/
Глава 189. Армия в небе,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-189-armiya-v-nebe/
Глава 188. Апостол Конца,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-188-apostol-kontsa/
"Глава 187. Тот, кто наблюдает",https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-187-tot-kto-nablyudaet/
Глава 186. Первый ход,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-186-perviy-khod/
Глава 185.5. Отступление. Гай Кримсон,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-185-5-otstuplenie-gay-krimson/
Глава 185. Начало новой игры,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-185-nachalo-novoy-igry/
Глава 184. Один на один,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-184-odin-na-odin/
Глава 183. Заключение Договора,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-183-zaklyuchenie-dogovora/
Глава 182. Вверить волю,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-182-vverit-volyu/
Глава 181. К финальной стадии,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-181-k-finalnoy-stadii/
Глава 180. Дуэль на палубе,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-180-duel-na-palube/
Глава 179. Чёрные против Империи (часть 2),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-179-chyornie-protiv-imperii-chast-2/
Глава 178. Чёрные против Империи (часть 1),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-178-chyornie-protiv-imperii-chast-1/
Глава 177. Чёрные,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-177-chyornie/
Глава 176. Меч Темпеста,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-176-mech-tempesta/
Глава 175. Вельдор освобождённый,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-175-veldor-osvobozhdyonniy/
Глава 174. Римуру против Дракона Бури и Сжигающей Драконицы,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-174-rimuru-protiv-drakona-buri-i-szhigayushchey-drakonitsy/
Глава 173. Ярость,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-173-yarost/
Глава 172. Столкновение! Дракон Бури против Сжигающей Драконицы (часть 2),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-172-stolknovenie-drakon-buri-protiv-szhigayushchey-drakonitsy-chast-2/
Глава 171. Столкновение! Дракон Бури против Сжигающей Драконицы (часть 1),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-171-stolknovenie-drakon-buri-protiv-szhigayushhej-drakonitsy-chast-1/
Глава 170. Приятное чаепитие,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-170-priyatnoe-chaepitie/
Глава 169. Переговоры с Гаем,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-169-peregovory-s-gaem/
Глава 168. Гай Кримсон,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-168-gaj-krimson/
Глава 167. Точка разветвления эпохи,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-167-tochka-razvetvleniya-epohi/
Глава 166. Государственный переворот в столице Империи,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-166-gosudarstvennyj-perevorot-v-stolitse-imperii/
Глава 165. Разладившиеся шестеренки,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-165-razladivshiesya-shesterenki/
Глава 164. Награда и эволюция (часть 3),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-164-nagrada-i-evolyutsiya-chast-3/
Глава 163. Награда и эволюция (часть 2),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-163-nagrada-i-evolyutsiya/
Глава 162. Награда и эволюция,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-162-nagrada-i-evolyutsiya/
Глава 161-5. Отступление. Ситуация Шинджи,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-161-5-otstuplenie-situatsiya-shindzhi/
"Глава 161. Работа не бога, а Владыки Демонов",https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-161-rabota-ne-boga-a-vladyki-demonov/
Глава 160. Война: зачистка и истребление,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-160-vojna-zachistka-i-istreblenie/
Глава 159: Битва за Столицу,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-159-bitva-za-stolitsu/
Глава 158. Сильнейший в Подземелье,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-158-silnejshij-v-podzemele/
Глава 234.1. Вторжение в Лабиринт (часть 7),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-234-1-vtorzhenie-v-labirint-chast-7/
Глава 233.2. Вторжение в Лабиринт (часть 6),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-233-2-vtorzhenie-v-labirint-chast-6/
Глава 233.1. Вторжение в Лабиринт (часть 6),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-233-1-vtorzhenie-v-labirint-chast-6/
Глава 232.2. Вторжение в Лабиринт (часть 5),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-232-2-vtorzhenie-v-labirint-chast-5/
